Material Code,Description,22/10/2022,23/10/2022,24/10/2022,25/10/2022,26/10/2022,27/10/2022,28/10/2022,29/10/2022,30/10/2022,31/10/2022,1/11/2022,2/11/2022,3/11/2022,4/11/2022,5/11/2022,6/11/2022,7/11/2022,8/11/2022,9/11/2022,10/11/2022,11/11/2022,12/11/2022,13/11/2022,14/11/2022,15/11/2022,16/11/2022,17/11/2022,18/11/2022,19/11/2022,20/11/2022,21/11/2022,22/11/2022,23/11/2022,24/11/2022,25/11/2022,26/11/2022,27/11/2022,28/11/2022,29/11/2022,30/11/2022,1/12/2022,2/12/2022,3/12/2022,4/12/2022,5/12/2022,6/12/2022,7/12/2022,8/12/2022,9/12/2022,10/12/2022,11/12/2022,12/12/2022,13/12/2022,14/12/2022,15/12/2022,16/12/2022,17/12/2022,18/12/2022,19/12/2022,20/12/2022,21/12/2022,22/12/2022,23/12/2022,24/12/2022,25/12/2022,26/12/2022,27/12/2022,28/12/2022,29/12/2022,30/12/2022,31/12/2022,1/1/2023,2/1/2023,3/1/2023,4/1/2023,5/1/2023,6/1/2023,7/1/2023,8/1/2023,9/1/2023,10/1/2023,11/1/2023,12/1/2023,13/01/2023,14/01/2023,15/01/2023,16/01/2023,17/01/2023,18/01/2023,19/01/2023,20/01/2023,21/01/2023,22/01/2023,23/01/2023,24/01/2023,25/01/2023,26/01/2023,27/01/2023,28/01/2023,29/01/2023,30/01/2023,31/01/2023,1/2/2023,2/2/2023,3/2/2023,4/2/2023,5/2/2023,6/2/2023,7/2/2023,8/2/2023,9/2/2023,10/2/2023,11/2/2023,12/2/2023,13/02/2023,14/02/2023,15/02/2023,16/02/2023,17/02/2023,18/02/2023,19/02/2023,20/02/2023,21/02/2023,22/02/2023,23/02/2023,24/02/2023,25/02/2023,26/02/2023,27/02/2023,28/02/2023,1/3/2023,2/3/2023,3/3/2023,4/3/2023,5/3/2023,6/3/2023,7/3/2023,8/3/2023,9/3/2023,10/3/2023,11/3/2023,12/3/2023,13/03/2023,14/03/2023,15/03/2023,16/03/2023,17/03/2023,18/03/2023,19/03/2023,20/03/2023,21/03/2023,22/03/2023,23/03/2023,24/03/2023,25/03/2023,26/03/2023,27/03/2023,28/03/2023,29/03/2023,30/03/2023,31/03/2023,1/4/2023,2/4/2023,3/4/2023,4/4/2023,5/4/2023,6/4/2023,7/4/2023,8/4/2023,9/4/2023,10/4/2023,11/4/2023,12/4/2023,13/04/2023,14/04/2023,15/04/2023,16/04/2023,17/04/2023,18/04/2023,19/04/2023,20/04/2023,21/04/2023,22/04/2023,23/04/2023,24/04/2023,25/04/2023,26/04/2023,27/04/2023,28/04/2023,29/04/2023,30/04/2023,1/5/2023,2/5/2023,3/5/2023,4/5/2023,5/5/2023,6/5/2023,7/5/2023,8/5/2023,9/5/2023,10/5/2023,11/5/2023,12/5/2023,13/05/2023,14/05/2023,15/05/2023,16/05/2023,17/05/2023,18/05/2023,19/05/2023,20/05/2023,21/05/2023,22/05/2023,23/05/2023,24/05/2023,25/05/2023,26/05/2023,27/05/2023,28/05/2023,29/05/2023,30/05/2023,31/05/2023,1/6/2023,2/6/2023,3/6/2023,4/6/2023,5/6/2023,6/6/2023,7/6/2023,8/6/2023,9/6/2023,10/6/2023,11/6/2023,12/6/2023,13/06/2023,14/06/2023,15/06/2023,16/06/2023,17/06/2023,18/06/2023,19/06/2023,20/06/2023,21/06/2023,22/06/2023,23/06/2023,24/06/2023,25/06/2023,26/06/2023,27/06/2023,28/06/2023,29/06/2023,30/06/2023,1/7/2023,2/7/2023,3/7/2023,4/7/2023,5/7/2023,6/7/2023,7/7/2023,8/7/2023,9/7/2023,10/7/2023,11/7/2023,12/7/2023,13/07/2023,14/07/2023,15/07/2023,16/07/2023,17/07/2023,18/07/2023,19/07/2023,20/07/2023,21/07/2023,22/07/2023,23/07/2023,24/07/2023,25/07/2023,26/07/2023,27/07/2023,28/07/2023,29/07/2023,30/07/2023,31/07/2023,1/8/2023,2/8/2023,3/8/2023,4/8/2023,5/8/2023,6/8/2023,7/8/2023,8/8/2023,9/8/2023,10/8/2023,11/8/2023,12/8/2023,13/08/2023,14/08/2023,15/08/2023,16/08/2023,17/08/2023,18/08/2023,19/08/2023,20/08/2023,21/08/2023,22/08/2023,23/08/2023,24/08/2023,25/08/2023,26/08/2023,27/08/2023,28/08/2023,29/08/2023,30/08/2023,31/08/2023,1/9/2023,2/9/2023,3/9/2023,4/9/2023,5/9/2023,6/9/2023,7/9/2023,8/9/2023,9/9/2023,10/9/2023,11/9/2023,12/9/2023,13/09/2023,14/09/2023,15/09/2023,16/09/2023,17/09/2023,18/09/2023,19/09/2023,20/09/2023,21/09/2023,22/09/2023,23/09/2023,24/09/2023,25/09/2023,26/09/2023,27/09/2023,28/09/2023,29/09/2023,30/09/2023,1/10/2023,2/10/2023,3/10/2023,4/10/2023,5/10/2023,6/10/2023,7/10/2023,8/10/2023,9/10/2023,10/10/2023,11/10/2023,12/10/2023,13/10/2023,14/10/2023,15/10/2023,16/10/2023,17/10/2023,18/10/2023,19/10/2023,20/10/2023
72000182,5000cc.Fresh,7604,11001,11968.6,13681.2,12105.8,15200.8,13441.8,8261.4,11536.4,11667.2,13517.2,11739.8,15027.2,13048.6,7965,11369,11984.2,13664.2,12008.8,15169.2,13417.6,8015,11477,12143.2,13863.2,12093.8,15400.2,13539.6,8295,11627,12625,12948,11844,14387,13481,8992,13885,12604,12956,11848,14402,13522,8994,13886,12409,12864,11692,14325,13289,8935,13847,12589,12940,11832,14384,13497,8990,13880,12353,12778,11643,14226,13274,8924,13713,12327,12578,11628,13987,13411,8932,13448,12405,12562,11680,13987,13369,8760,13646,12494,12749,11737,14188,13387,8803,13803,81166,0,0,0,0,0,0,81166,0,0,0,0,0,0,82279,0,0,0,0,0,0,82724,0,0,0,0,0,0,82724,0,0,0,0,0,0,82724,0,0,0,0,0,0,81700,0,0,0,0,0,0,81290,0,0,0,0,0,0,81290,0,0,0,0,0,0,81290,0,0,0,0,0,0,80975,0,0,0,0,0,0,80188,0,0,0,0,0,0,80188,0,0,0,0,0,0,80188,0,0,0,0,0,0,80188,0,0,0,0,0,0,80161,0,0,0,0,0,0,80161,0,0,0,0,0,0,80161,0,0,0,0,0,0,80161,0,0,0,0,0,0,81390,0,0,0,0,0,0,82312,0,0,0,0,0,0,82312,0,0,0,0,0,0,82312,0,0,0,0,0,0,82494,0,0,0,0,0,0,82948,0,0,0,0,0,0,82948,0,0,0,0,0,0,82948,0,0,0,0,0,0,82948,0,0,0,0,0,0,84328,0,0,0,0,0,0,84558,0,0,0,0,0,0,84558,0,0,0,0,0,0,84558,0,0,0,0,0,0,84920,0,0,0,0,0,0,85404,0,0,0,0,0,0,85404,0,0,0,0,0,0,85404,0,0,0,0,0,0,85150,0,0,0,0,0,0,83626,0,0,0,0,0,0,83626,0,0,0,0,0,0,83626,0,0,0,0
72000234,946cc.Non Fat Fresh Pak,1402,1934,1483.2,1791,1760.6,1270.2,2806,1421.4,1823.2,1511,1796,1815,1269,2782,1359,1848,1521,1791,1820,1289,2737,1374,1838,1501,1791,1814,1289,2723,1374,1838,1510,1799,1916,1303,2853,1348,1840,1930,2324,2371,1653,3658,1733,2400,1510,1799,1916,1303,2853,1348,1840,1510,1799,1916,1303,2853,1348,1840,1510,1799,1916,1303,2853,1348,1840,1570,1874,1981,1353,2968,1403,1920,1630,1949,2046,1403,3083,1458,2000,1630,1949,2046,1403,3083,1458,2000,13817,0,0,0,0,0,0,13817,0,0,0,0,0,0,14660,0,0,0,0,0,0,14998,0,0,0,0,0,0,14998,0,0,0,0,0,0,14998,0,0,0,0,0,0,14154,0,0,0,0,0,0,13817,0,0,0,0,0,0,13817,0,0,0,0,0,0,13817,0,0,0,0,0,0,13782,0,0,0,0,0,0,13694,0,0,0,0,0,0,13694,0,0,0,0,0,0,13694,0,0,0,0,0,0,13694,0,0,0,0,0,0,14043,0,0,0,0,0,0,14043,0,0,0,0,0,0,14043,0,0,0,0,0,0,14043,0,0,0,0,0,0,13844,0,0,0,0,0,0,13694,0,0,0,0,0,0,13694,0,0,0,0,0,0,13694,0,0,0,0,0,0,13729,0,0,0,0,0,0,13817,0,0,0,0,0,0,13817,0,0,0,0,0,0,13817,0,0,0,0,0,0,13817,0,0,0,0,0,0,14011,0,0,0,0,0,0,14043,0,0,0,0,0,0,14043,0,0,0,0,0,0,14043,0,0,0,0,0,0,13894,0,0,0,0,0,0,13694,0,0,0,0,0,0,13694,0,0,0,0,0,0,13694,0,0,0,0,0,0,13696,0,0,0,0,0,0,13704,0,0,0,0,0,0,13704,0,0,0,0,0,0,13704,0,0,0,0
72000235,946cc.Fresh Fresh Pak,16965,31789,18374.8,29320.6,21585.8,22823.6,24012.6,17063.6,30739.6,17878,29055,21112,22439,23418,16973,30373,18179,29296,21308,22789,23779,16975,30721,18017,29164,21236,22844,23735,16926,30396,17430,28666,20289,22234,23162,16965,30279,21028,33460,24789,25228,28262,20865,35373,17410,28648,20278,22210,23141,16965,30255,17370,28616,20244,22184,23114,16942,30228,17153,28370,20130,21877,22902,16941,29924,18318,29945,21607,22840,24559,18241,31587,20153,32221,23862,24377,26992,20073,34019,20153,32221,23862,24377,26992,20073,34019,166717,0,0,0,0,0,0,166717,0,0,0,0,0,0,175705,0,0,0,0,0,0,179300,0,0,0,0,0,0,179300,0,0,0,0,0,0,179300,0,0,0,0,0,0,170635,0,0,0,0,0,0,167169,0,0,0,0,0,0,167169,0,0,0,0,0,0,167169,0,0,0,0,0,0,167270,0,0,0,0,0,0,167524,0,0,0,0,0,0,167524,0,0,0,0,0,0,167524,0,0,0,0,0,0,167524,0,0,0,0,0,0,167079,0,0,0,0,0,0,167079,0,0,0,0,0,0,167079,0,0,0,0,0,0,167079,0,0,0,0,0,0,167953,0,0,0,0,0,0,168609,0,0,0,0,0,0,168609,0,0,0,0,0,0,168609,0,0,0,0,0,0,167971,0,0,0,0,0,0,166376,0,0,0,0,0,0,166376,0,0,0,0,0,0,166376,0,0,0,0,0,0,166376,0,0,0,0,0,0,166531,0,0,0,0,0,0,166557,0,0,0,0,0,0,166557,0,0,0,0,0,0,166557,0,0,0,0,0,0,167416,0,0,0,0,0,0,168562,0,0,0,0,0,0,168562,0,0,0,0,0,0,168562,0,0,0,0,0,0,167831,0,0,0,0,0,0,163441,0,0,0,0,0,0,163441,0,0,0,0,0,0,163441,0,0,0,0
72000495,946cc.Whipping Cream,2512,3633,3085,4135.4,4233.6,3810.4,4174.2,2597,4015.6,3383,4498.4,4371.6,4167.4,4329.2,2616,4351.6,3309,4429,4303,4094,4272,2552,4288,3365,4477,4323,4153,4334,2613,4322,3536,4550,4398,4308,4447,2665,4475,3536,4550,4398,4308,4447,2665,4475,3536,4550,4398,4308,4447,2665,4475,3571,4574,4446,4323,4440,2677,4499,3571,4574,4446,4323,4440,2677,4499,3228,4210,4340,3969,4249,2668,4166,3419,4381,4397,4134,4351,2630,4357,3560,4531,4441,4280,4430,2634,4494,27294,0,0,0,0,0,0,27294,0,0,0,0,0,0,28106,0,0,0,0,0,0,28431,0,0,0,0,0,0,28431,0,0,0,0,0,0,28431,0,0,0,0,0,0,27619,0,0,0,0,0,0,27294,0,0,0,0,0,0,27294,0,0,0,0,0,0,27294,0,0,0,0,0,0,27190,0,0,0,0,0,0,26932,0,0,0,0,0,0,26932,0,0,0,0,0,0,26932,0,0,0,0,0,0,26932,0,0,0,0,0,0,26842,0,0,0,0,0,0,26842,0,0,0,0,0,0,26842,0,0,0,0,0,0,26842,0,0,0,0,0,0,27000,0,0,0,0,0,0,27118,0,0,0,0,0,0,27118,0,0,0,0,0,0,27118,0,0,0,0,0,0,27188,0,0,0,0,0,0,27362,0,0,0,0,0,0,27362,0,0,0,0,0,0,27362,0,0,0,0,0,0,27362,0,0,0,0,0,0,27319,0,0,0,0,0,0,27312,0,0,0,0,0,0,27312,0,0,0,0,0,0,27312,0,0,0,0,0,0,27202,0,0,0,0,0,0,27055,0,0,0,0,0,0,27055,0,0,0,0,0,0,27055,0,0,0,0,0,0,27025,0,0,0,0,0,0,26842,0,0,0,0,0,0,26842,0,0,0,0,0,0,26842,0,0,0,0
72000496,12KG Soft Serve Ice Cream Mix,401,342,129,379,444,328,376,401,342,129,379,444,328,376,401,342,129,379,444,328,376,401,342,129,379,444,328,376,401,342,129,379,444,328,376,401,342,129,379,444,328,376,401,342,129,379,444,328,376,401,342,129,379,444,328,376,401,342,129,379,444,328,376,401,342,129,379,444,328,376,401,342,129,379,444,328,376,401,342,129,379,444,328,376,401,342,2484,0,0,0,0,0,0,2484,0,0,0,0,0,0,2495,0,0,0,0,0,0,2500,0,0,0,0,0,0,2500,0,0,0,0,0,0,2500,0,0,0,0,0,0,2488,0,0,0,0,0,0,2484,0,0,0,0,0,0,2484,0,0,0,0,0,0,2484,0,0,0,0,0,0,2508,0,0,0,0,0,0,2567,0,0,0,0,0,0,2567,0,0,0,0,0,0,2567,0,0,0,0,0,0,2567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72000516,946cc. Meiji Gold Maxx Gable Top,1399,1743,1469,1753,2182,1871,1753,1374,1718,1512,1783,2217,1903,1785,1409,1740,1516,1798,2217,1918,1785,1409,1755,1441,1725,2155,1848,1704,1327,1696,1441,1725,2155,1848,1704,1327,1696,1450,1725,2164,1848,1704,1329,1696,1450,1725,2164,1848,1704,1329,1696,1450,1725,2164,1848,1704,1329,1696,1450,1725,2164,1848,1704,1329,1696,1450,1725,2164,1848,1704,1329,1696,1448,1724,2162,1847,1702,1329,1696,1448,1724,2162,1847,1702,1329,1696,11093,0,0,0,0,0,0,11093,0,0,0,0,0,0,11013,0,0,0,0,0,0,10981,0,0,0,0,0,0,10981,0,0,0,0,0,0,10981,0,0,0,0,0,0,11061,0,0,0,0,0,0,11093,0,0,0,0,0,0,11093,0,0,0,0,0,0,11093,0,0,0,0,0,0,11178,0,0,0,0,0,0,11391,0,0,0,0,0,0,11391,0,0,0,0,0,0,11391,0,0,0,0,0,0,11391,0,0,0,0,0,0,11048,0,0,0,0,0,0,11048,0,0,0,0,0,0,11048,0,0,0,0,0,0,11048,0,0,0,0,0,0,11151,0,0,0,0,0,0,11229,0,0,0,0,0,0,11229,0,0,0,0,0,0,11229,0,0,0,0,0,0,11177,0,0,0,0,0,0,11048,0,0,0,0,0,0,11048,0,0,0,0,0,0,11048,0,0,0,0,0,0,11048,0,0,0,0,0,0,11086,0,0,0,0,0,0,11093,0,0,0,0,0,0,11093,0,0,0,0,0,0,11093,0,0,0,0,0,0,11131,0,0,0,0,0,0,11182,0,0,0,0,0,0,11182,0,0,0,0,0,0,11182,0,0,0,0,0,0,11154,0,0,0,0,0,0,10980,0,0,0,0,0,0,10980,0,0,0,0,0,0,10980,0,0,0,0
72000653,80cc. Meiji Strawberry,2542,2331,2600,2837,2806,2767,2617,2492,2281,2400,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72000720,200cc. Melon Flavoured,13015,15101,14977,16796,15028,16698,14594,13212,15442,15299,17850,15262,17763,14747,13623,16303,15361,18010,15291,17928,14764,13623,16470,15368,18009,15287,17938,14760,13615,16490,15395,18053,15312,17972,14773,13623,16517,15256,17791,15199,17764,14641,13545,16319,15239,17769,15188,17742,14636,13545,16295,15025,17459,14868,17479,14446,13395,16191,14491,16890,14343,16882,13933,12808,15668,14366,16507,14233,16576,13856,12796,15281,14908,17393,14828,17290,14452,13325,16070,15041,17572,14920,17461,14496,13336,16240,120400,0,0,0,0,0,0,120400,0,0,0,0,0,0,114204,0,0,0,0,0,0,111725,0,0,0,0,0,0,111725,0,0,0,0,0,0,111725,0,0,0,0,0,0,111954,0,0,0,0,0,0,112045,0,0,0,0,0,0,112045,0,0,0,0,0,0,112045,0,0,0,0,0,0,111179,0,0,0,0,0,0,109013,0,0,0,0,0,0,109013,0,0,0,0,0,0,109013,0,0,0,0,0,0,109013,0,0,0,0,0,0,108816,0,0,0,0,0,0,108816,0,0,0,0,0,0,108816,0,0,0,0,0,0,108816,0,0,0,0,0,0,111075,0,0,0,0,0,0,112770,0,0,0,0,0,0,112770,0,0,0,0,0,0,112770,0,0,0,0,0,0,112305,0,0,0,0,0,0,111142,0,0,0,0,0,0,111142,0,0,0,0,0,0,111142,0,0,0,0,0,0,111142,0,0,0,0,0,0,113019,0,0,0,0,0,0,113332,0,0,0,0,0,0,113332,0,0,0,0,0,0,113332,0,0,0,0,0,0,112411,0,0,0,0,0,0,111183,0,0,0,0,0,0,111183,0,0,0,0,0,0,111183,0,0,0,0,0,0,111016,0,0,0,0,0,0,110013,0,0,0,0,0,0,110013,0,0,0,0,0,0,110013,0,0,0,0
72000723,200cc.Chocolate,27080,30825,32785,36752,32485,35032,32713,27891,31987,34416,39166,33649,36788,34324,28298,33795,35620,40280,34552,37762,35217,28676,35122,34967,39939,33882,37365,34346,28203,34926,34967,39939,33882,37365,34346,28203,34926,35129,39469,34027,37102,34642,28140,34618,34489,38914,33517,36635,34027,28094,33952,34594,39141,33613,36833,34114,28115,34218,34285,38649,33369,36427,33961,28002,33683,33575,37865,32806,35794,33654,27944,32738,34232,38660,33372,36486,34013,28002,33662,34892,39927,33891,37339,34325,28067,34988,258379,0,0,0,0,0,0,258379,0,0,0,0,0,0,252937,0,0,0,0,0,0,250760,0,0,0,0,0,0,250760,0,0,0,0,0,0,250760,0,0,0,0,0,0,256251,0,0,0,0,0,0,258447,0,0,0,0,0,0,258447,0,0,0,0,0,0,258447,0,0,0,0,0,0,251208,0,0,0,0,0,0,233109,0,0,0,0,0,0,233109,0,0,0,0,0,0,233109,0,0,0,0,0,0,233109,0,0,0,0,0,0,245350,0,0,0,0,0,0,245350,0,0,0,0,0,0,245350,0,0,0,0,0,0,245350,0,0,0,0,0,0,254222,0,0,0,0,0,0,260876,0,0,0,0,0,0,260876,0,0,0,0,0,0,260876,0,0,0,0,0,0,259601,0,0,0,0,0,0,256415,0,0,0,0,0,0,256415,0,0,0,0,0,0,256415,0,0,0,0,0,0,256415,0,0,0,0,0,0,258834,0,0,0,0,0,0,259237,0,0,0,0,0,0,259237,0,0,0,0,0,0,259237,0,0,0,0,0,0,258239,0,0,0,0,0,0,256909,0,0,0,0,0,0,256909,0,0,0,0,0,0,256909,0,0,0,0,0,0,255596,0,0,0,0,0,0,247719,0,0,0,0,0,0,247719,0,0,0,0,0,0,247719,0,0,0,0
72000724,200cc.Coffee,31377,35652,31019,40492,33687,44331,33523,31510,37072,31978,42647,34547,47465,34472,32369,39656,32700,43408,35331,48636,35122,32922,40813,32796,43715,35423,48917,35195,32933,41154,32766,43505,35393,48724,35157,32927,40960,32639,43341,35355,48662,35044,32817,40704,32432,42539,35154,47926,34867,32790,39856,32440,42742,35137,48091,34851,32729,40074,32212,41736,34915,47107,34690,32048,39556,31915,41003,34633,46446,34509,32021,38588,32307,42245,35014,47595,34802,32041,40014,32391,42649,35090,47828,34845,32047,40585,274395,0,0,0,0,0,0,274395,0,0,0,0,0,0,276715,0,0,0,0,0,0,277642,0,0,0,0,0,0,277642,0,0,0,0,0,0,277642,0,0,0,0,0,0,275323,0,0,0,0,0,0,274395,0,0,0,0,0,0,274395,0,0,0,0,0,0,274395,0,0,0,0,0,0,272622,0,0,0,0,0,0,268189,0,0,0,0,0,0,268189,0,0,0,0,0,0,268189,0,0,0,0,0,0,268189,0,0,0,0,0,0,272334,0,0,0,0,0,0,272334,0,0,0,0,0,0,272334,0,0,0,0,0,0,272334,0,0,0,0,0,0,275335,0,0,0,0,0,0,277585,0,0,0,0,0,0,277585,0,0,0,0,0,0,277585,0,0,0,0,0,0,276740,0,0,0,0,0,0,274626,0,0,0,0,0,0,274626,0,0,0,0,0,0,274626,0,0,0,0,0,0,274626,0,0,0,0,0,0,276561,0,0,0,0,0,0,276884,0,0,0,0,0,0,276884,0,0,0,0,0,0,276884,0,0,0,0,0,0,276186,0,0,0,0,0,0,275256,0,0,0,0,0,0,275256,0,0,0,0,0,0,275256,0,0,0,0,0,0,274165,0,0,0,0,0,0,267619,0,0,0,0,0,0,267619,0,0,0,0,0,0,267619,0,0,0,0
